n(G)	e(G)	a(G)	max(e)	min(a)	max(a)
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	3	1	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	1	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	2	2	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
3	0	3	3	1	3
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	6	1	6	1	4
4	2	2	6	1	4
4	2	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	3	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	4	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	5	2	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	1	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	2	3	6	1	4
4	3	3	6	1	4
4	0	4	6	1	4
4	0	4	6	1	4
4	0	4	6	1	4
4	0	4	6	1	4
4	0	4	6	1	4
5	5	2	9	2	5
5	5	2	9	2	5
5	5	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	6	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	7	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	8	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	9	2	9	2	5
5	2	3	9	2	5
5	2	3	9	2	5
5	2	3	9	2	5
5	3	3	9	2	5
5	3	3	9	2	5
5	3	3	9	2	5
5	3	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	4	3	9	2	5
5	5	3	9	2	5
5	5	3	9	2	5
5	5	3	9	2	5
5	5	3	9	2	5
5	5	3	9	2	5
5	6	3	9	2	5
5	6	3	9	2	5
5	6	3	9	2	5
5	7	3	9	2	5
5	7	3	9	2	5
5	7	3	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	1	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	2	4	9	2	5
5	4	4	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
5	0	5	9	2	5
6	9	2	12	2	6
6	9	2	12	2	6
6	9	2	12	2	6
6	10	2	12	2	6
6	10	2	12	2	6
6	10	2	12	2	6
6	10	2	12	2	6
6	10	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	11	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	12	2	12	2	6
6	5	3	12	2	6
6	5	3	12	2	6
6	5	3	12	2	6
6	6	3	12	2	6
6	7	3	12	2	6
6	7	3	12	2	6
6	7	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	8	3	12	2	6
6	9	3	12	2	6
6	9	3	12	2	6
6	9	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	10	3	12	2	6
6	11	3	12	2	6
6	11	3	12	2	6
6	11	3	12	2	6
6	3	4	12	2	6
6	3	4	12	2	6
6	3	4	12	2	6
6	4	4	12	2	6
6	4	4	12	2	6
6	4	4	12	2	6
6	4	4	12	2	6
6	4	4	12	2	6
6	5	4	12	2	6
6	5	4	12	2	6
6	5	4	12	2	6
6	5	4	12	2	6
6	1	5	12	2	6
6	1	5	12	2	6
6	1	5	12	2	6
6	1	5	12	2	6
6	1	5	12	2	6
6	1	5	12	2	6
6	2	5	12	2	6
6	2	5	12	2	6
6	2	5	12	2	6
6	2	5	12	2	6
6	3	5	12	2	6
6	3	5	12	2	6
6	0	6	12	2	6
6	0	6	12	2	6
6	0	6	12	2	6
6	0	6	12	2	6
7	14	2	15	2	7
7	14	2	15	2	7
7	14	2	15	2	7
7	14	2	15	2	7
7	14	2	15	2	7
7	14	2	15	2	7
7	15	2	15	2	7
7	15	2	15	2	7
7	15	2	15	2	7
7	8	3	15	2	7
7	8	3	15	2	7
7	8	3	15	2	7
7	9	3	15	2	7
7	10	3	15	2	7
7	10	3	15	2	7
7	10	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	11	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	12	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	13	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	14	3	15	2	7
7	15	3	15	2	7
7	4	4	15	2	7
7	5	4	15	2	7
7	5	4	15	2	7
7	6	4	15	2	7
7	6	4	15	2	7
7	6	4	15	2	7
7	6	4	15	2	7
7	6	4	15	2	7
7	7	4	15	2	7
7	8	4	15	2	7
7	8	4	15	2	7
7	8	4	15	2	7
7	8	4	15	2	7
7	8	4	15	2	7
7	9	4	15	2	7
7	9	4	15	2	7
7	10	4	15	2	7
7	10	4	15	2	7
7	11	4	15	2	7
7	11	4	15	2	7
7	11	4	15	2	7
7	11	4	15	2	7
7	3	5	15	2	7
7	3	5	15	2	7
7	3	5	15	2	7
7	3	5	15	2	7
7	4	5	15	2	7
7	1	6	15	2	7
7	2	6	15	2	7
7	3	6	15	2	7
7	0	7	15	2	7
7	0	7	15	2	7
7	0	7	15	2	7
7	0	7	15	2	7
8	17	2	18	2	8
8	18	2	18	2	8
8	11	3	18	2	8
8	12	3	18	2	8
8	13	3	18	2	8
8	13	3	18	2	8
8	13	3	18	2	8
8	14	3	18	2	8
8	14	3	18	2	8
8	14	3	18	2	8
8	14	3	18	2	8
8	14	3	18	2	8
8	14	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	15	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	16	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	17	3	18	2	8
8	18	3	18	2	8
8	18	3	18	2	8
8	8	4	18	2	8
8	9	4	18	2	8
8	9	4	18	2	8
8	10	4	18	2	8
